"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Evening workout 🏋️","21 Mar 2025, 19:36","21 Mar 2025, 20:53","","Lat Pulldown (Cable)",,"",1,"normal",79,8,,,
"Evening workout 🏋️","21 Mar 2025, 19:36","21 Mar 2025, 20:53","","Lat Pulldown (Cable)",,"",2,"normal",81,6,,,
"Evening workout 🏋️","21 Mar 2025, 19:36","21 Mar 2025, 20:53","","Lat Pulldown (Cable)",,"",3,"normal",81,8,,,
"Evening workout 🏋️","21 Mar 2025, 19:36","21 Mar 2025, 20:53","","Seated Row (Machine)",,"",0,"normal",44,10,,,
"Evening workout 🏋️","21 Mar 2025, 19:36","21 Mar 2025, 20:53","","Seated Row (Machine)",,"",1,"normal",70,8,,,
"Evening workout 🏋️","21 Mar 2025, 19:36","21 Mar 2025, 20:53","","Seated Row (Machine)",,"",2,"normal",70,9,,,
"Evening workout 🏋️","21 Mar 2025, 19:36","21 Mar 2025, 20:53","","Seated Row (Machine)",,"",3,"normal",70,9,,,
"Evening workout 🏋️","21 Mar 2025, 19:36","21 Mar 2025, 20:53","","Rear Delt Reverse Fly (Machine)",,"",0,"normal",45,10,,,
"Evening workout 🏋️","21 Mar 2025, 19:36","21 Mar 2025, 20:53","","Rear Delt Reverse Fly (Machine)",,"",1,"normal",59,9,,,
"Evening workout 🏋️","21 Mar 2025, 19:36","21 Mar 2025, 20:53","","Rear Delt Reverse Fly (Machine)",,"",2,"normal",59,10,,,
"Evening workout 🏋️","21 Mar 2025, 19:36","21 Mar 2025, 20:53","","Lat Pulldown - Close Grip (Cable)",,"",0,"normal",45,8,,,
"Evening workout 🏋️","21 Mar 2025, 19:36","21 Mar 2025, 20:53","","Lat Pulldown - Close Grip (Cable)",,"",1,"normal",75,6,,,
"Evening workout 🏋️","21 Mar 2025, 19:36","21 Mar 2025, 20:53","","Lat Pulldown - Close Grip (Cable)",,"",2,"normal",75,5,,,
"Evening workout 🏋️","21 Mar 2025, 19:36","21 Mar 2025, 20:53","","Preacher Curl (Dumbbell)",,"",0,"normal",12.5,10,,,
"Evening workout 🏋️","21 Mar 2025, 19:36","21 Mar 2025, 20:53","","Preacher Curl (Dumbbell)",,"",1,"normal",12.5,11,,,
"Evening workout 🏋️","21 Mar 2025, 19:36","21 Mar 2025, 20:53","","Preacher Curl (Dumbbell)",,"",2,"normal",12.5,10,,,
"Lower gym","20 Mar 2025, 18:39","20 Mar 2025, 19:31","","Seated Leg Curl (Machine)",,"",0,"normal",29,10,,,
"Lower gym","20 Mar 2025, 18:39","20 Mar 2025, 19:31","","Seated Leg Curl (Machine)",,"",1,"normal",43,10,,,
"Lower gym","20 Mar 2025, 18:39","20 Mar 2025, 19:31","","Seated Leg Curl (Machine)",,"",2,"normal",50,10,,,
"Lower gym","20 Mar 2025, 18:39","20 Mar 2025, 19:31","","Seated Leg Curl (Machine)",,"",3,"normal",50,10,,,
"Lower gym","20 Mar 2025, 18:39","20 Mar 2025, 19:31","","Romanian Deadlift (Barbell)",,"",0,"normal",25,10,,,
"Lower gym","20 Mar 2025, 18:39","20 Mar 2025, 19:31","","Romanian Deadlift (Barbell)",,"",1,"normal",40,10,,,
"Lower gym","20 Mar 2025, 18:39","20 Mar 2025, 19:31","","Romanian Deadlift (Barbell)",,"",2,"normal",45,10,,,
"Lower gym","20 Mar 2025, 18:39","20 Mar 2025, 19:31","","Romanian Deadlift (Barbell)",,"",3,"normal",45,9,,,
"Lower gym","20 Mar 2025, 18:39","20 Mar 2025, 19:31","","Leg Press (Machine)",,"",0,"normal",90,10,,,
"Lower gym","20 Mar 2025, 18:39","20 Mar 2025, 19:31","","Leg Press (Machine)",,"",1,"normal",140,11,,,
"Lower gym","20 Mar 2025, 18:39","20 Mar 2025, 19:31","","Leg Press (Machine)",,"",2,"normal",140,9,,,
"Lower gym","20 Mar 2025, 18:39","20 Mar 2025, 19:31","","Leg Press (Machine)",,"",3,"normal",140,9,,,
"Lower gym","20 Mar 2025, 18:39","20 Mar 2025, 19:31","","Leg Extension (Machine)",,"",0,"normal",50,12,,,
"Lower gym","20 Mar 2025, 18:39","20 Mar 2025, 19:31","","Leg Extension (Machine)",,"",1,"normal",70,9,,,
"Lower gym","20 Mar 2025, 18:39","20 Mar 2025, 19:31","","Leg Extension (Machine)",,"",2,"normal",70,9,,,
"Lower gym","20 Mar 2025, 18:39","20 Mar 2025, 19:31","","Leg Extension (Machine)",,"",3,"normal",70,10,,,
"Lower gym","20 Mar 2025, 18:39","20 Mar 2025, 19:31","","Single Leg Standing Calf Raise (Dumbbell)",,"",0,"normal",,10,,,
"Lower gym","20 Mar 2025, 18:39","20 Mar 2025, 19:31","","Single Leg Standing Calf Raise (Dumbbell)",,"",1,"normal",12.5,10,,,
"Lower gym","20 Mar 2025, 18:39","20 Mar 2025, 19:31","","Single Leg Standing Calf Raise (Dumbbell)",,"",2,"normal",12.5,10,,,
"Upper gym","18 Mar 2025, 18:06","18 Mar 2025, 19:16","","Chest Press (Machine)",,"",0,"normal",45,10,,,
"Upper gym","18 Mar 2025, 18:06","18 Mar 2025, 19:16","","Chest Press (Machine)",,"",1,"normal",80,10,,,
"Upper gym","18 Mar 2025, 18:06","18 Mar 2025, 19:16","","Chest Press (Machine)",,"",2,"normal",85,6,,,
"Upper gym","18 Mar 2025, 18:06","18 Mar 2025, 19:16","","Chest Press (Machine)",,"",3,"normal",80,10,,,
"Upper gym","18 Mar 2025, 18:06","18 Mar 2025, 19:16","","Lat Pulldown (Cable)",,"",0,"normal",45,10,,,
"Upper gym","18 Mar 2025, 18:06","18 Mar 2025, 19:16","","Lat Pulldown (Cable)",,"",1,"normal",80,10,,,
"Upper gym","18 Mar 2025, 18:06","18 Mar 2025, 19:16","","Lat Pulldown (Cable)",,"",2,"normal",85,6,,,
"Upper gym","18 Mar 2025, 18:06","18 Mar 2025, 19:16","","Lat Pulldown (Cable)",,"",3,"normal",80,10,,,
"Upper gym","18 Mar 2025, 18:06","18 Mar 2025, 19:16","","Seated Row (Machine)",,"",0,"normal",44,10,,,
"Upper gym","18 Mar 2025, 18:06","18 Mar 2025, 19:16","","Seated Row (Machine)",,"",1,"normal",70,9,,,
"Upper gym","18 Mar 2025, 18:06","18 Mar 2025, 19:16","","Seated Row (Machine)",,"",2,"normal",70,10,,,
"Upper gym","18 Mar 2025, 18:06","18 Mar 2025, 19:16","","Seated Row (Machine)",,"",3,"normal",70,7,,,
"Upper gym","18 Mar 2025, 18:06","18 Mar 2025, 19:16","","Seated Shoulder Press (Machine)",,"",0,"normal",50,10,,,
"Upper gym","18 Mar 2025, 18:06","18 Mar 2025, 19:16","","Seated Shoulder Press (Machine)",,"",1,"normal",90,9,,,
"Upper gym","18 Mar 2025, 18:06","18 Mar 2025, 19:16","","Seated Shoulder Press (Machine)",,"",2,"normal",90,9,,,
"Upper gym","18 Mar 2025, 18:06","18 Mar 2025, 19:16","","Seated Shoulder Press (Machine)",,"",3,"normal",90,10,,,
"Upper gym","18 Mar 2025, 18:06","18 Mar 2025, 19:16","","Lateral Raise (Dumbbell)",,"",0,"normal",7.5,10,,,
"Upper gym","18 Mar 2025, 18:06","18 Mar 2025, 19:16","","Lateral Raise (Dumbbell)",,"",1,"normal",10,10,,,
"Upper gym","18 Mar 2025, 18:06","18 Mar 2025, 19:16","","Lateral Raise (Dumbbell)",,"",2,"normal",10,10,,,
"Upper gym","18 Mar 2025, 18:06","18 Mar 2025, 19:16","","Preacher Curl (Dumbbell)",,"",0,"normal",11,11,,,
"Upper gym","18 Mar 2025, 18:06","18 Mar 2025, 19:16","","Preacher Curl (Dumbbell)",,"",1,"normal",11,11,,,
"Upper gym","18 Mar 2025, 18:06","18 Mar 2025, 19:16","","Preacher Curl (Dumbbell)",,"",2,"normal",11,11,,,
"Upper gym","18 Mar 2025, 18:06","18 Mar 2025, 19:16","","Triceps Extension (Cable)",,"",0,"normal",55,10,,,
"Upper gym","16 Mar 2025, 18:42","16 Mar 2025, 19:45","","Chest Press (Machine)",,"",0,"normal",45,10,,,
"Upper gym","16 Mar 2025, 18:42","16 Mar 2025, 19:45","","Chest Press (Machine)",,"",1,"normal",80,9,,,
"Upper gym","16 Mar 2025, 18:42","16 Mar 2025, 19:45","","Chest Press (Machine)",,"",2,"normal",80,10,,,
"Upper gym","16 Mar 2025, 18:42","16 Mar 2025, 19:45","","Chest Press (Machine)",,"",3,"normal",80,7,,,
"Upper gym","16 Mar 2025, 18:42","16 Mar 2025, 19:45","","Lat Pulldown (Cable)",,"",0,"normal",45,10,,,
"Upper gym","16 Mar 2025, 18:42","16 Mar 2025, 19:45","","Lat Pulldown (Cable)",,"",1,"normal",80,9,,,
"Upper gym","16 Mar 2025, 18:42","16 Mar 2025, 19:45","","Lat Pulldown (Cable)",,"",2,"normal",80,6,,,
"Upper gym","16 Mar 2025, 18:42","16 Mar 2025, 19:45","","Lat Pulldown (Cable)",,"",3,"normal",80,8,,,
"Upper gym","16 Mar 2025, 18:42","16 Mar 2025, 19:45","","Seated Row (Machine)",,"",0,"normal",44,10,,,
"Upper gym","16 Mar 2025, 18:42","16 Mar 2025, 19:45","","Seated Row (Machine)",,"",1,"normal",75,6,,,
"Upper gym","16 Mar 2025, 18:42","16 Mar 2025, 19:45","","Seated Row (Machine)",,"",2,"normal",75,8,,,
"Upper gym","16 Mar 2025, 18:42","16 Mar 2025, 19:45","","Seated Row (Machine)",,"",3,"normal",70,10,,,
"Upper gym","16 Mar 2025, 18:42","16 Mar 2025, 19:45","","Seated Shoulder Press (Machine)",,"",0,"normal",50,10,,,
"Upper gym","16 Mar 2025, 18:42","16 Mar 2025, 19:45","","Seated Shoulder Press (Machine)",,"",1,"normal",90,10,,,
"Upper gym","16 Mar 2025, 18:42","16 Mar 2025, 19:45","","Seated Shoulder Press (Machine)",,"",2,"normal",90,9,,,
"Upper gym","16 Mar 2025, 18:42","16 Mar 2025, 19:45","","Lateral Raise (Dumbbell)",,"",0,"normal",7.5,10,,,
"Upper gym","16 Mar 2025, 18:42","16 Mar 2025, 19:45","","Lateral Raise (Dumbbell)",,"",1,"normal",10,10,,,
"Upper gym","16 Mar 2025, 18:42","16 Mar 2025, 19:45","","Lateral Raise (Dumbbell)",,"",2,"normal",10,10,,,
"Upper gym","16 Mar 2025, 18:42","16 Mar 2025, 19:45","","Preacher Curl (Dumbbell)",,"",0,"normal",11,11,,,
"Upper gym","16 Mar 2025, 18:42","16 Mar 2025, 19:45","","Preacher Curl (Dumbbell)",,"",1,"normal",11,11,,,
"Upper gym","16 Mar 2025, 18:42","16 Mar 2025, 19:45","","Preacher Curl (Dumbbell)",,"",2,"normal",11,11,,,
"Upper gym","16 Mar 2025, 18:42","16 Mar 2025, 19:45","","Triceps Extension (Cable)",,"",0,"normal",55,10,,,
"Upper gym","16 Mar 2025, 18:42","16 Mar 2025, 19:45","","Triceps Extension (Cable)",,"",1,"normal",55,10,,,
"Upper gym","16 Mar 2025, 18:42","16 Mar 2025, 19:45","","Triceps Extension (Cable)",,"",2,"normal",55,9,,,
"Lower gym","15 Mar 2025, 15:56","15 Mar 2025, 17:14","","Seated Leg Curl (Machine)",,"",0,"normal",29,10,,,
"Lower gym","15 Mar 2025, 15:56","15 Mar 2025, 17:14","","Seated Leg Curl (Machine)",,"",1,"normal",50,6,,,
"Lower gym","15 Mar 2025, 15:56","15 Mar 2025, 17:14","","Seated Leg Curl (Machine)",,"",2,"normal",50,8,,,
"Lower gym","15 Mar 2025, 15:56","15 Mar 2025, 17:14","","Seated Leg Curl (Machine)",,"",3,"normal",50,9,,,
"Lower gym","15 Mar 2025, 15:56","15 Mar 2025, 17:14","","Squat (Barbell)",,"",0,"normal",40,10,,,
"Lower gym","15 Mar 2025, 15:56","15 Mar 2025, 17:14","","Squat (Barbell)",,"",1,"normal",50,7,,,
"Lower gym","15 Mar 2025, 15:56","15 Mar 2025, 17:14","","Squat (Barbell)",,"",2,"normal",70,4,,,
"Lower gym","15 Mar 2025, 15:56","15 Mar 2025, 17:14","","Squat (Barbell)",,"",3,"normal",65,6,,,
"Lower gym","15 Mar 2025, 15:56","15 Mar 2025, 17:14","","Romanian Deadlift (Barbell)",,"",0,"normal",25,10,,,
"Lower gym","15 Mar 2025, 15:56","15 Mar 2025, 17:14","","Romanian Deadlift (Barbell)",,"",1,"normal",45,10,,,
"Lower gym","15 Mar 2025, 15:56","15 Mar 2025, 17:14","","Romanian Deadlift (Barbell)",,"",2,"normal",45,10,,,
"Lower gym","15 Mar 2025, 15:56","15 Mar 2025, 17:14","","Romanian Deadlift (Barbell)",,"",3,"normal",45,9,,,
"Lower gym","15 Mar 2025, 15:56","15 Mar 2025, 17:14","","Leg Press (Machine)",,"",0,"normal",140,8,,,
"Lower gym","15 Mar 2025, 15:56","15 Mar 2025, 17:14","","Leg Press (Machine)",,"",1,"normal",140,9,,,
"Lower gym","15 Mar 2025, 15:56","15 Mar 2025, 17:14","","Leg Press (Machine)",,"",2,"normal",140,6,,,
"Lower gym","15 Mar 2025, 15:56","15 Mar 2025, 17:14","","Leg Extension (Machine)",,"",0,"normal",50,12,,,
"Lower gym","15 Mar 2025, 15:56","15 Mar 2025, 17:14","","Leg Extension (Machine)",,"",1,"normal",70,9,,,
"Lower gym","15 Mar 2025, 15:56","15 Mar 2025, 17:14","","Leg Extension (Machine)",,"",2,"normal",70,9,,,
"Lower gym","15 Mar 2025, 15:56","15 Mar 2025, 17:14","","Leg Extension (Machine)",,"",3,"normal",63,10,,,
"Lower gym","15 Mar 2025, 15:56","15 Mar 2025, 17:14","","Single Leg Standing Calf Raise (Dumbbell)",,"",0,"normal",,10,,,
"Lower gym","15 Mar 2025, 15:56","15 Mar 2025, 17:14","","Single Leg Standing Calf Raise (Dumbbell)",,"",1,"normal",,10,,,
"Upper gym","13 Mar 2025, 19:35","13 Mar 2025, 20:29","","Chest Press (Machine)",,"",0,"normal",45,10,,,
"Upper gym","13 Mar 2025, 19:35","13 Mar 2025, 20:29","","Chest Press (Machine)",,"",1,"normal",80,10,,,
"Upper gym","13 Mar 2025, 19:35","13 Mar 2025, 20:29","","Chest Press (Machine)",,"",2,"normal",80,7,,,
"Upper gym","13 Mar 2025, 19:35","13 Mar 2025, 20:29","","Chest Press (Machine)",,"",3,"normal",80,6,,,
